종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"298690","에어부산","KOSPI","운송·창고","2280","15","0.66","265939200000"
"140910","에이리츠","KOSPI","부동산","3130","0","0.00","13969290160"
"078520","에이블씨엔씨","KOSPI","화학","7170","-30","-0.42","186521534370"
"015260","에이엔피","KOSPI","전기·전자","593","5","0.85","26754318142"
"007460","에이프로젠","KOSPI","금속","784","12","1.55","238433603296"
"003060","에이프로젠바이오로직스","KOSPI","제약","651","4","0.62","129163507095"
"244920","에이플러스에셋","KOSPI","기타금융","4400","15","0.34","99473849200"
"278470","에이피알","KOSPI","화학","54100","3000","5.87","2062610649000"
"450080","에코프로머티","KOSPI","전기·전자","66100","4300","6.96","4609719344800"
"036570","엔씨소프트","KOSPI","IT 서비스","189000","7000","3.85","4149310158000"
"085310","엔케이","KOSPI","금속","907","7","0.78","72544900264"
"900140","엘브이엠씨홀딩스","KOSPI","유통","1696","84","5.21","291013945056"
"066970","엘앤에프","KOSPI","전기·전자","81600","4100","5.29","2961849398400"
"097520","엠씨넥스","KOSPI","전기·전자","19990","330","1.68","359374862680"
"484870","엠앤씨솔루션","KOSPI","기계·장비","48200","1200","2.55","441217980000"
"014440","영보화학","KOSPI","화학","3725","100","2.76","74500000000"
"111770","영원무역","KOSPI","유통","41500","950","2.34","1838925922000"
"009970","영원무역홀딩스","KOSPI","기타금융","80800","-300","-0.37","1101755833600"
"003520","영진약품","KOSPI","제약","2055","61","3.06","375844562205"
"000670","영풍","KOSPI","금속","384500","1500","0.39","708264380000"
"006740","영풍제지","KOSPI","종이·목재","1167","17","1.48","65243723406"
"012280","영화금속","KOSPI","운송장비·부품","910","2","0.22","47014699550"
"012160","영흥","KOSPI","금속","412","0","0.00","41739873264"
"015360","예스코홀딩스","KOSPI","일반서비스","49500","100","0.20","297000000000"
"007310","오뚜기","KOSPI","음식료·담배","389500","-1000","-0.26","1561049785000"
"002630","오리엔트바이오","KOSPI","제약","1795","59","3.40","212856493975"
"271560","오리온","KOSPI","음식료·담배","102900","-200","-0.19","4068267982800"
"001800","오리온홀딩스","KOSPI","기타금융","15040","-50","-0.33","942187146880"
"005320","온타이드","KOSPI","유통","494","57","13.04","33260055218"
"011690","와이투솔루션","KOSPI","전기·전자","2025","85","4.38","74063147850"
"316140","우리금융지주","KOSPI","기타금융","15260","-30","-0.20","11331946305260"
"006980","우성","KOSPI","음식료·담배","15120","120","0.80","46720800000"
"017370","우신시스템","KOSPI","기계·장비","6050","-10","-0.17","110800026700"
"105840","우진","KOSPI","의료·정밀기기","6550","90","1.39","133119671700"
"010400","우진아이엔에스","KOSPI","건설","3140","-15","-0.48","23933080000"
"049800","우진플라임","KOSPI","기계·장비","2090","30","1.46","41800000000"
"016880","웅진","KOSPI","일반서비스","867","12","1.40","69296778360"
"095720","웅진씽크빅","KOSPI","일반서비스","1587","37","2.39","183307998195"
"005820","원림","KOSPI","섬유·의류","12750","-10","-0.08","29299117500"
"010600","웰바이오텍","KOSPI","유통","545","0","0.00","49553256815"
"008600","윌비스","KOSPI","유통","776","-16","-2.02","52175166264"
"033270","유나이티드제약","KOSPI","제약","18580","370","2.03","303482412760"
"014830","유니드","KOSPI","화학","71400","300","0.42","483206640000"
"446070","유니드비티플러스","KOSPI","종이·목재","3660","15","0.41","38837046900"
"000910","유니온","KOSPI","비금속","5150","150","3.00","80399837850"
"047400","유니온머티리얼","KOSPI","비금속","2275","70","3.17","95550000000"
"011330","유니켐","KOSPI","기타제조","1471","3","0.20","142682832657"
"077500","유니퀘스트","KOSPI","유통","7660","140","1.86","165456781320"
"002920","유성기업","KOSPI","운송장비·부품","1874","39","2.13","48625615000"
"000700","유수홀딩스","KOSPI","일반서비스","5320","0","0.00","138542439840"
"003470","유안타증권","KOSPI","증권","2665","5","0.19","531924875040"
"003475","유안타증권우","KOSPI","증권","2850","-25","-0.87","36799804200"
"072130","유엔젤","KOSPI","IT 서비스","4665","-895","-16.10","61556792910"
"000220","유유제약","KOSPI","제약","4765","145","3.14","81159152515"
"000225","유유제약1우","KOSPI","제약","4730","195","4.30","10722578900"
"000227","유유제약2우B","KOSPI","제약","9690","110","1.15","3154676400"
"001200","유진투자증권","KOSPI","증권","2510","70","2.87","243134709180"
"000100","유한양행","KOSPI","제약","119200","900","0.76","9560920428800"
"000105","유한양행우","KOSPI","제약","107000","900","0.85","126360580000"
"003460","유화증권","KOSPI","증권","2190","15","0.69","124178288850"
"003465","유화증권우","KOSPI","증권","2250","55","2.51","39321956250"
"008730","율촌화학","KOSPI","화학","21500","900","4.37","533200000000"
"008250","이건산업","KOSPI","종이·목재","5260","100","1.94","57610860100"
"025820","이구산업","KOSPI","금속","4045","5","0.12","135272890000"
"214320","이노션","KOSPI","일반서비스","19090","-10","-0.05","763600000000"
"088260","이리츠코크렙","KOSPI","부동산","4200","75","1.82","266034678000"
"139480","이마트","KOSPI","유통","62700","600","0.97","1747813851300"
"457190","이수스페셜티케미컬","KOSPI","화학","32900","2850","9.48","993852412000"
"007660","이수페타시스","KOSPI","전기·전자","28450","1000","3.64","1799360620550"
"005950","이수화학","KOSPI","화학","6260","220","3.64","142244346140"
"015020","이스타코","KOSPI","부동산","2150","-80","-3.59","92130940000"
"093230","이아이디","KOSPI","유통","1392","0","0.00","354103029120"
"074610","이엔플러스","KOSPI","기계·장비","1058","45","4.44","77630463282"
"102460","이연제약","KOSPI","제약","13360","390","3.01","248319794960"
"084680","이월드","KOSPI","기타제조","1556","46","3.05","220650436308"
"350520","이지스레지던스리츠","KOSPI","부동산","3865","10","0.26","142487870730"
"334890","이지스밸류리츠","KOSPI","부동산","4425","0","0.00","227637350325"
"000760","이화산업","KOSPI","유통","10360","120","1.17","29008000000"
"014990","인디에프","KOSPI","섬유·의류","960","10","1.05","72108475200"
"101140","인바이오젠","KOSPI","유통","9340","0","0.00","93812977440"
"006490","인스코비","KOSPI","통신","1506","-5","-0.33","179769710988"
"023800","인지컨트롤스","KOSPI","운송장비·부품","5770","110","1.94","91219066690"
"034590","인천도시가스","KOSPI","전기·가스","24650","50","0.20","107837686100"
"129260","인터지스","KOSPI","운송·창고","2490","-20","-0.80","74072206260"
"023810","인팩","KOSPI","운송장비·부품","5740","150","2.68","57400000000"
"249420","일동제약","KOSPI","제약","11730","220","1.91","329173136730"
"000230","일동홀딩스","KOSPI","제약","7490","20","0.27","86437596000"
