종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"086960","MDS테크","중견기업부","990","71","7.73","905","1000","905","1717083","1660084457","91893570120","92821788"
"038340","MIT","관리종목(소속부없음)","1233","0","0.00","0","0","0","0","0","39979891836","32424892"
"160550","NEW","중견기업부","2140","30","1.42","2075","2195","2075","38843","82835890","59719066840","27906106"
"053290","NE능률","우량기업부","3640","-5","-0.14","3640","3720","3560","41913","152335935","60155757480","16526307"
"060250","NHN KCP","우량기업부","7100","-230","-3.14","7300","7360","7100","169949","1221892710","285140338100","40160611"
"104200","NHN벅스","중견기업부","2745","-5","-0.18","2750","2790","2725","7672","21037700","40701624750","14827550"
"222160","NPX","관리종목(소속부없음)","8040","0","0.00","0","0","0","0","0","79551289560","9894439"
"024940","PN풍년","벤처기업부","7790","0","0.00","7580","7910","7580","256340","1990404080","77900000000","10000000"
"218410","RFHIC","우량기업부","13100","-140","-1.06","13110","13490","13060","75139","992535470","346946190200","26484442"
"327260","RF머트리얼즈","벤처기업부","4775","45","0.95","4730","4790","4555","13280","62961255","40268678025","8433231"
"474610","RF시스템즈","벤처기업부","3905","245","6.69","3620","3950","3595","102557","393460560","49132956015","12582063"
"091340","S&K폴리텍","중견기업부","2455","-15","-0.61","2425","2470","2320","28266","68021265","28732635055","11703721"
"419530","SAMG엔터","기술성장기업부","12730","510","4.17","11970","12770","11970","45321","569872120","109362538900","8590930"
"019550","SBI인베스트먼트","중견기업부","761","-4","-0.52","757","772","752","468905","356352122","123332663575","162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)","4975","5","0.10","4970","4980","4970","17638","87661830","119661386500","24052540"
"036120","SCI평가정보","중견기업부","2450","35","1.45","2440","2560","2390","841736","2073022195","86975000000","35500000"
"246960","SCL사이언스","기술성장기업부","8240","-160","-1.90","8400","8460","8200","13237","109680610","60015224240","7283401"
"099220","SDN","중견기업부","1107","16","1.47","1082","1111","1073","241848","265909118","62182194777","56171811"
"036540","SFA반도체","우량기업부","3085","-10","-0.32","3095","3135","3045","174267","538208575","507360034755","164460303"
"255220","SG","중견기업부","2860","45","1.60","2755","2885","2700","2489602","7057691275","277299548240","96957884"
"040610","SG&G","중견기업부","1594","9","0.57","1583","1594","1552","20612","32347296","54334990424","34087196"
"049470","SGA","중견기업부","289","0","0.00","289","289","283","85436","24496678","17011189961","58862249"
